# f104_solver  slice=f348bd34  steps_per_call=1
pos_slice=0645185a
name	arm	call	iterate	residual	pos_x	pos_y	pos_z
Nix	mut	1	-1348.4031100527527	0.0001274847932108969	0.00017609477955614944	0.00027882208198702678	-1.980545749411899e-07
Nix	mut	2	-1348.4017956547045	1.6674865491950186e-05	0.00017573511741289557	0.00027905394273490948	-1.9949043786179106e-07
Nix	mut	3	-1348.401812543482	2.1436403585539665e-07	0.00017573974066466199	0.00027905096654145341	-1.9947199041017781e-07
Nix	mut	4	-1348.4018123263622	2.7557689463719726e-09	0.00017573968122909094	0.00027905100480348334	-1.9947222756841978e-07
Nix	mut	5	-1348.4018123291535	3.5470293369144201e-11	0.0001757396819931802	0.00027905100431159611	-1.9947222451957133e-07
Pallas	mut	0	-	-	-	-	-
Pallas	mut	1	2.6712550446316738	0.43497152103732178	-3.1109435035617752	1.2223844708633107	0
Pallas	mut	2	2.2466341381644157	0.010398648640772112	-2.3739284443377793	2.1043922148065843	0
Pallas	mut	3	2.2362443499166078	8.5301763705913913e-06	-2.3513643855391715	2.1218090351747332	0
Pallas	mut	4	2.2362358163691396	5.7860383151364658e-12	-2.3513457765064922	2.1218232464215592	0
Pallas	mut	5	2.236235816360169	4.4408920985006262e-16	-2.3513457764869305	2.1218232464364983	0
Sedna	mut	0	-	-	-	-	-
Sedna	mut	1	0.34734591576346757	0.52082581972985964	43.848639748444015	93.876876110283803	0
Sedna	mut	2	-1.172710191941968	0.99922490587156754	-253.66442147007234	-254.21640648881734	-0
Sedna	mut	3	2.3598583577747587	2.5333567572714051	-844.43657682119908	194.29099144487452	0
Sedna	mut	4	-1.6093551106491062	1.435830519969391	-483.1172355510991	-275.57624224364844	-0
Sedna	mut	5	0.10006826220286033	0.27357682945783451	73.306753676818161	27.55091374200067	0
Vesta	mut	0	-	-	-	-	-
Vesta	mut	1	2.5033921384022411	0.15941740276822491	-2.1069047825176845	1.4010185245829705	0
Vesta	mut	2	2.3445706373102406	0.00067437385962287877	-1.8605740368510546	1.6821083265142058	0
Vesta	mut	3	2.3438999640762419	1.3507220675279541e-08	-1.8594410083049417	1.6832101665698984	0
Vesta	mut	4	2.3438999669339595	4.4408920985006262e-16	-1.8594410131343215	1.6832101618766049	0
Vesta	mut	5	2.3438999669339595	4.4408920985006262e-16	-1.8594410131343215	1.6832101618766049	0
